file_path,tempo,time_signature,c_diatonic,note_num,note_density,average_interval,syncopation_16th,syncopation_8th,major_likelihood,minor_likelihood
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-000-of-1024.mid,120,4/4 at 0.00 seconds,0.913043478,46,0.180392157,2.022222222,0.195652174,0.304347826,0.519963062,0.480036938
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-001-of-1024.mid,120,4/4 at 0.00 seconds,0.611111111,72,0.282352941,2.61971831,0,0.236111111,0.493170367,0.506829633
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-002-of-1024.mid,120,4/4 at 0.00 seconds,0.892857143,84,0.328125,5.927710843,0,0,0.513064537,0.486935463
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-003-of-1024.mid,120,4/4 at 0.00 seconds,0.742857143,70,0.286885246,3.376811594,0,0,0.537830925,0.462169075
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-004-of-1024.mid,120,4/4 at 0.00 seconds,0.272727273,44,0.171875,7.88372093,0,0.022727273,0.464851572,0.535148428
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-005-of-1024.mid,120,4/4 at 0.00 seconds,0.448275862,58,0.22745098,1.526315789,0,0.448275862,0.431298144,0.568701856
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-006-of-1024.mid,120,4/4 at 0.00 seconds,0.864864865,37,0.14453125,8.777777778,0,0.162162162,0.528974691,0.471025309
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-007-of-1024.mid,120,4/4 at 0.00 seconds,0.803738318,107,0.41796875,4.943396226,0,0.093457944,0.514514414,0.485485586
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-008-of-1024.mid,120,4/4 at 0.00 seconds,0.978494624,93,0.36328125,1.663043478,0,0.086021505,0.539615952,0.460384048
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-009-of-1024.mid,120,4/4 at 0.00 seconds,1,75,0.29296875,1.432432432,0.026666667,0.213333333,0.544483986,0.455516014
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-010-of-1024.mid,120,4/4 at 0.00 seconds,0.480769231,52,0.203125,5,0.019230769,0,0.470865586,0.529134414
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-011-of-1024.mid,120,4/4 at 0.00 seconds,0.56,50,0.196850394,2.408163265,0.02,0.1,0.495326143,0.504673857
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-012-of-1024.mid,120,4/4 at 0.00 seconds,0.931372549,102,0.3984375,1.693069307,0.049019608,0.049019608,0.535548639,0.464451361
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-013-of-1024.mid,120,4/4 at 0.00 seconds,0.473684211,57,0.22265625,1.785714286,0,0.070175439,0.501950282,0.498049718
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-014-of-1024.mid,120,4/4 at 0.00 seconds,0.459459459,37,0.14453125,5.277777778,0,0,0.472445306,0.527554694
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-015-of-1024.mid,120,4/4 at 0.00 seconds,0.347826087,46,0.1796875,2.155555556,0,0.369565217,0.469570213,0.530429787
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-016-of-1024.mid,120,4/4 at 0.00 seconds,0.555555556,153,0.59765625,2.986842105,0.019607843,0,0.465344936,0.534655064
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-017-of-1024.mid,120,4/4 at 0.00 seconds,0.528301887,53,0.20703125,3.538461538,0,0,0.490748847,0.509251153
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-018-of-1024.mid,120,4/4 at 0.00 seconds,0.914285714,35,0.13671875,4.647058824,0,0.2,0.538131042,0.461868958
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-019-of-1024.mid,120,4/4 at 0.00 seconds,0.103448276,58,0.2265625,4.912280702,0.206896552,0.068965517,0.422898492,0.577101508
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-020-of-1024.mid,120,4/4 at 0.00 seconds,1,33,0.130952381,3.125,0,0.151515152,0.533399732,0.466600268
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-021-of-1024.mid,120,4/4 at 0.00 seconds,0.966666667,30,0.1171875,4.103448276,0.4,0.066666667,0.558893588,0.441106412
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-022-of-1024.mid,120,4/4 at 0.00 seconds,0.792682927,82,0.3203125,2.716049383,0,0.048780488,0.507489195,0.492510805
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-023-of-1024.mid,120,4/4 at 0.00 seconds,0.641025641,39,0.156,5.368421053,0,0,0.490623157,0.509376843
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-024-of-1024.mid,120,4/4 at 0.00 seconds,0.277777778,72,0.28125,1.633802817,0.222222222,0.430555556,0.435222491,0.564777509
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-025-of-1024.mid,120,4/4 at 0.00 seconds,0.9375,48,0.1875,2.361702128,0,0.208333333,0.529146944,0.470853056
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-026-of-1024.mid,120,4/4 at 0.00 seconds,0.797468354,79,0.309803922,2.974358974,0,0.063291139,0.49902567,0.50097433
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-027-of-1024.mid,120,4/4 at 0.00 seconds,0.523809524,63,0.24609375,2.677419355,0.031746032,0.317460317,0.468989946,0.531010054
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-028-of-1024.mid,120,4/4 at 0.00 seconds,0.08974359,78,0.3046875,4.38961039,0,0.025641026,0.395231602,0.604768398
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-029-of-1024.mid,120,4/4 at 0.00 seconds,1,37,0.14453125,2.611111111,0.216216216,0.081081081,0.537432593,0.462567407
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-030-of-1024.mid,120,4/4 at 0.00 seconds,0.8203125,128,0.5,4.401574803,0,0,0.495516286,0.504483714
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-031-of-1024.mid,120,4/4 at 0.00 seconds,0.756756757,74,0.2890625,3,0.527027027,0,0.499604248,0.500395752
